held_out_subject,rank_in_list,feature_name,fs_method,fs_scoring,base_estimator
ID1,1,line_length__ch03,rfe,recall,logreg
ID1,2,line_length__ch04,rfe,recall,logreg
ID1,3,line_length__ch14,rfe,recall,logreg
ID1,4,fractal_katz__ch03,rfe,recall,logreg
ID1,5,fractal_katz__ch04,rfe,recall,logreg
ID1,6,fractal_katz__ch14,rfe,recall,logreg
ID10,1,line_length__ch02,rfe,recall,logreg
ID10,2,line_length__ch16,rfe,recall,logreg
ID10,3,line_length__ch17,rfe,recall,logreg
ID10,4,fractal_katz__ch14,rfe,recall,logreg
ID10,5,fractal_katz__ch17,rfe,recall,logreg
ID11,1,line_length__ch02,rfe,recall,logreg
ID11,2,line_length__ch03,rfe,recall,logreg
ID11,3,line_length__ch05,rfe,recall,logreg
ID11,4,line_length__ch14,rfe,recall,logreg
ID11,5,line_length__ch16,rfe,recall,logreg
ID11,6,line_length__ch17,rfe,recall,logreg
ID11,7,line_length__ch18,rfe,recall,logreg
ID11,8,amp_var__ch03,rfe,recall,logreg
ID11,9,amp_var__ch09,rfe,recall,logreg
ID11,10,min__ch04,rfe,recall,logreg
ID11,11,fractal_katz__ch03,rfe,recall,logreg
ID11,12,fractal_katz__ch04,rfe,recall,logreg
ID11,13,fractal_katz__ch05,rfe,recall,logreg
ID11,14,fractal_katz__ch09,rfe,recall,logreg
ID11,15,fractal_katz__ch14,rfe,recall,logreg
ID11,16,fractal_katz__ch17,rfe,recall,logreg
ID12,1,line_length__ch02,rfe,recall,logreg
ID12,2,line_length__ch03,rfe,recall,logreg
ID12,3,line_length__ch04,rfe,recall,logreg
ID12,4,amp_var__ch10,rfe,recall,logreg
ID12,5,fractal_katz__ch03,rfe,recall,logreg
ID12,6,fractal_katz__ch04,rfe,recall,logreg
ID12,7,fractal_katz__ch09,rfe,recall,logreg
ID13a,1,line_length__ch16,rfe,recall,logreg
ID13a,2,line_length__ch17,rfe,recall,logreg
ID13a,3,min__ch16,rfe,recall,logreg
ID13a,4,fractal_katz__ch14,rfe,recall,logreg
ID13a,5,fractal_katz__ch17,rfe,recall,logreg
ID13b,1,line_length__ch05,rfe,recall,logreg
ID13b,2,amp_var__ch09,rfe,recall,logreg
ID13b,3,fractal_katz__ch03,rfe,recall,logreg
ID13b,4,fractal_katz__ch05,rfe,recall,logreg
ID13b,5,fractal_katz__ch09,rfe,recall,logreg
ID14a,1,line_length__ch02,rfe,recall,logreg
ID14a,2,line_length__ch03,rfe,recall,logreg
ID14a,3,line_length__ch04,rfe,recall,logreg
ID14a,4,line_length__ch05,rfe,recall,logreg
ID14a,5,line_length__ch07,rfe,recall,logreg
ID14a,6,line_length__ch10,rfe,recall,logreg
ID14a,7,line_length__ch14,rfe,recall,logreg
ID14a,8,line_length__ch16,rfe,recall,logreg
ID14a,9,line_length__ch17,rfe,recall,logreg
ID14a,10,line_length__ch18,rfe,recall,logreg
ID14a,11,amp_var__ch03,rfe,recall,logreg
ID14a,12,amp_var__ch09,rfe,recall,logreg
ID14a,13,min__ch04,rfe,recall,logreg
ID14a,14,fractal_katz__ch03,rfe,recall,logreg
ID14a,15,fractal_katz__ch04,rfe,recall,logreg
ID14a,16,fractal_katz__ch05,rfe,recall,logreg
ID14a,17,fractal_katz__ch07,rfe,recall,logreg
ID14a,18,fractal_katz__ch09,rfe,recall,logreg
ID14a,19,fractal_katz__ch11,rfe,recall,logreg
ID14a,20,fractal_katz__ch12,rfe,recall,logreg
ID14a,21,fractal_katz__ch14,rfe,recall,logreg
ID14a,22,fractal_katz__ch17,rfe,recall,logreg
ID14a,23,fractal_katz__ch18,rfe,recall,logreg
ID14b,1,line_length__ch03,rfe,recall,logreg
ID14b,2,line_length__ch04,rfe,recall,logreg
ID14b,3,fractal_katz__ch03,rfe,recall,logreg
ID14b,4,fractal_katz__ch04,rfe,recall,logreg
ID14b,5,fractal_katz__ch17,rfe,recall,logreg
ID15,1,line_length__ch16,rfe,recall,logreg
ID15,2,line_length__ch17,rfe,recall,logreg
ID15,3,min__ch16,rfe,recall,logreg
ID15,4,fractal_katz__ch14,rfe,recall,logreg
ID15,5,fractal_katz__ch17,rfe,recall,logreg
ID16,1,line_length__ch02,rfe,recall,logreg
ID16,2,line_length__ch03,rfe,recall,logreg
ID16,3,line_length__ch04,rfe,recall,logreg
ID16,4,line_length__ch10,rfe,recall,logreg
ID16,5,line_length__ch14,rfe,recall,logreg
ID16,6,line_length__ch16,rfe,recall,logreg
ID16,7,line_length__ch18,rfe,recall,logreg
ID16,8,line_length__ch19,rfe,recall,logreg
ID16,9,amp_var__ch03,rfe,recall,logreg
ID16,10,min__ch04,rfe,recall,logreg
ID16,11,fractal_katz__ch03,rfe,recall,logreg
ID16,12,fractal_katz__ch04,rfe,recall,logreg
ID16,13,fractal_katz__ch09,rfe,recall,logreg
ID16,14,fractal_katz__ch10,rfe,recall,logreg
ID16,15,fractal_katz__ch14,rfe,recall,logreg
ID16,16,fractal_katz__ch17,rfe,recall,logreg
ID16,17,fractal_katz__ch18,rfe,recall,logreg
ID16,18,fractal_katz__ch19,rfe,recall,logreg
ID2,1,line_length__ch02,rfe,recall,logreg
ID2,2,line_length__ch03,rfe,recall,logreg
ID2,3,line_length__ch04,rfe,recall,logreg
ID2,4,line_length__ch14,rfe,recall,logreg
ID2,5,line_length__ch17,rfe,recall,logreg
ID2,6,fractal_katz__ch03,rfe,recall,logreg
ID2,7,fractal_katz__ch04,rfe,recall,logreg
ID2,8,fractal_katz__ch14,rfe,recall,logreg
ID2,9,fractal_katz__ch17,rfe,recall,logreg
ID4a,1,line_length__ch03,rfe,recall,logreg
ID4a,2,line_length__ch05,rfe,recall,logreg
ID4a,3,line_length__ch10,rfe,recall,logreg
ID4a,4,line_length__ch14,rfe,recall,logreg
ID4a,5,fractal_katz__ch03,rfe,recall,logreg
ID4a,6,fractal_katz__ch05,rfe,recall,logreg
ID4a,7,fractal_katz__ch09,rfe,recall,logreg
ID4a,8,fractal_katz__ch14,rfe,recall,logreg
ID4a,9,fractal_katz__ch17,rfe,recall,logreg
ID4b,1,line_length__ch02,rfe,recall,logreg
ID4b,2,line_length__ch03,rfe,recall,logreg
ID4b,3,line_length__ch04,rfe,recall,logreg
ID4b,4,line_length__ch05,rfe,recall,logreg
ID4b,5,line_length__ch10,rfe,recall,logreg
ID4b,6,line_length__ch15,rfe,recall,logreg
ID4b,7,line_length__ch16,rfe,recall,logreg
ID4b,8,line_length__ch17,rfe,recall,logreg
ID4b,9,amp_var__ch03,rfe,recall,logreg
ID4b,10,amp_var__ch04,rfe,recall,logreg
ID4b,11,amp_var__ch05,rfe,recall,logreg
ID4b,12,max__ch12,rfe,recall,logreg
ID4b,13,min__ch16,rfe,recall,logreg
ID4b,14,fractal_katz__ch03,rfe,recall,logreg
ID4b,15,fractal_katz__ch04,rfe,recall,logreg
ID4b,16,fractal_katz__ch05,rfe,recall,logreg
ID4b,17,fractal_katz__ch09,rfe,recall,logreg
ID4b,18,fractal_katz__ch10,rfe,recall,logreg
ID4b,19,fractal_katz__ch12,rfe,recall,logreg
ID4b,20,fractal_katz__ch14,rfe,recall,logreg
ID4b,21,fractal_katz__ch15,rfe,recall,logreg
ID4b,22,fractal_katz__ch17,rfe,recall,logreg
ID5,1,line_length__ch02,rfe,recall,logreg
ID5,2,line_length__ch03,rfe,recall,logreg
ID5,3,line_length__ch04,rfe,recall,logreg
ID5,4,line_length__ch05,rfe,recall,logreg
ID5,5,line_length__ch16,rfe,recall,logreg
ID5,6,line_length__ch17,rfe,recall,logreg
ID5,7,amp_var__ch09,rfe,recall,logreg
ID5,8,fractal_katz__ch03,rfe,recall,logreg
ID5,9,fractal_katz__ch04,rfe,recall,logreg
ID5,10,fractal_katz__ch05,rfe,recall,logreg
ID5,11,fractal_katz__ch09,rfe,recall,logreg
ID5,12,fractal_katz__ch14,rfe,recall,logreg
ID5,13,fractal_katz__ch17,rfe,recall,logreg
ID6,1,line_length__ch02,rfe,recall,logreg
ID6,2,line_length__ch03,rfe,recall,logreg
ID6,3,line_length__ch04,rfe,recall,logreg
ID6,4,line_length__ch07,rfe,recall,logreg
ID6,5,line_length__ch14,rfe,recall,logreg
ID6,6,fractal_katz__ch03,rfe,recall,logreg
ID6,7,fractal_katz__ch04,rfe,recall,logreg
ID6,8,fractal_katz__ch07,rfe,recall,logreg
ID6,9,fractal_katz__ch14,rfe,recall,logreg
ID6,10,fractal_katz__ch17,rfe,recall,logreg
ID7,1,line_length__ch01,rfe,recall,logreg
ID7,2,line_length__ch02,rfe,recall,logreg
ID7,3,line_length__ch03,rfe,recall,logreg
ID7,4,line_length__ch04,rfe,recall,logreg
ID7,5,line_length__ch05,rfe,recall,logreg
ID7,6,line_length__ch07,rfe,recall,logreg
ID7,7,line_length__ch10,rfe,recall,logreg
ID7,8,line_length__ch14,rfe,recall,logreg
ID7,9,line_length__ch16,rfe,recall,logreg
ID7,10,line_length__ch17,rfe,recall,logreg
ID7,11,line_length__ch18,rfe,recall,logreg
ID7,12,line_length__ch19,rfe,recall,logreg
ID7,13,line_length__ch20,rfe,recall,logreg
ID7,14,amp_var__ch03,rfe,recall,logreg
ID7,15,amp_var__ch09,rfe,recall,logreg
ID7,16,max__ch03,rfe,recall,logreg
ID7,17,max__ch20,rfe,recall,logreg
ID7,18,min__ch04,rfe,recall,logreg
ID7,19,min__ch16,rfe,recall,logreg
ID7,20,min__ch18,rfe,recall,logreg
ID7,21,fractal_katz__ch03,rfe,recall,logreg
ID7,22,fractal_katz__ch04,rfe,recall,logreg
ID7,23,fractal_katz__ch05,rfe,recall,logreg
ID7,24,fractal_katz__ch07,rfe,recall,logreg
ID7,25,fractal_katz__ch09,rfe,recall,logreg
ID7,26,fractal_katz__ch10,rfe,recall,logreg
ID7,27,fractal_katz__ch12,rfe,recall,logreg
ID7,28,fractal_katz__ch14,rfe,recall,logreg
ID7,29,fractal_katz__ch17,rfe,recall,logreg
ID7,30,fractal_katz__ch18,rfe,recall,logreg
ID7,31,fractal_katz__ch19,rfe,recall,logreg
ID8,1,line_length__ch02,rfe,recall,logreg
ID8,2,line_length__ch03,rfe,recall,logreg
ID8,3,line_length__ch04,rfe,recall,logreg
ID8,4,line_length__ch05,rfe,recall,logreg
ID8,5,line_length__ch10,rfe,recall,logreg
ID8,6,line_length__ch14,rfe,recall,logreg
ID8,7,line_length__ch16,rfe,recall,logreg
ID8,8,line_length__ch17,rfe,recall,logreg
ID8,9,line_length__ch18,rfe,recall,logreg
ID8,10,line_length__ch19,rfe,recall,logreg
ID8,11,amp_var__ch03,rfe,recall,logreg
ID8,12,min__ch04,rfe,recall,logreg
ID8,13,min__ch13,rfe,recall,logreg
ID8,14,min__ch16,rfe,recall,logreg
ID8,15,fractal_katz__ch03,rfe,recall,logreg
ID8,16,fractal_katz__ch04,rfe,recall,logreg
ID8,17,fractal_katz__ch05,rfe,recall,logreg
ID8,18,fractal_katz__ch09,rfe,recall,logreg
ID8,19,fractal_katz__ch14,rfe,recall,logreg
ID8,20,fractal_katz__ch17,rfe,recall,logreg
ID8,21,fractal_katz__ch18,rfe,recall,logreg
ID8,22,fractal_katz__ch19,rfe,recall,logreg
ID9,1,line_length__ch02,rfe,recall,logreg
ID9,2,line_length__ch03,rfe,recall,logreg
ID9,3,line_length__ch05,rfe,recall,logreg
ID9,4,line_length__ch14,rfe,recall,logreg
ID9,5,line_length__ch17,rfe,recall,logreg
ID9,6,line_length__ch19,rfe,recall,logreg
ID9,7,fractal_katz__ch03,rfe,recall,logreg
ID9,8,fractal_katz__ch04,rfe,recall,logreg
ID9,9,fractal_katz__ch14,rfe,recall,logreg
ID9,10,fractal_katz__ch17,rfe,recall,logreg
